tconst,title,year,ordering,Actor,Category,Job
tt6527426,Zero,2018,1,Shah Rukh Khan,actor,\N
tt5882970,Tubelight,2017,2,Sohail Khan,actor,\N
tt3679060,Kapow,2016,4,Akshaye Khanna,actor,\N
tt5690142,Mom,2017,3,Akshaye Khanna,actor,\N
tt9691324,Sab Kushal Mangal,2020,1,Akshaye Khanna,actor,\N
tt4169250,M.S. Dhoni: The Untold Story,2016,3,Anupam Kher,actor,\N
tt5456546,Twins 2,2017,4,Anupam Kher,actor,\N
tt5785170,Toilet: A Love Story,2017,2,Anupam Kher,actor,\N
tt8869978,Batla House,2019,4,Ravi Kishan,actor,\N
tt6452574,Sanju,2017,3,Manisha Koirala,actress,\N
tt2631186,Baahubali: The Beginning,2015,3,Ramya Krishnan,actress,\N
tt6903440,Manikarnika: The Queen of Jhansi,2019,3,Atul Kulkarni,actor,\N
tt8176312,Gul Makai,2020,3,Atul Kulkarni,actor,\N
tt2424988,Gabbar is Back,2015,1,Akshay Kumar,actor,\N
tt3696192,Singh Is Bliing,2015,1,Akshay Kumar,actor,\N
tt3802576,Brothers,2015,1,Akshay Kumar,actor,\N
tt3848892,Baby,2015,1,Akshay Kumar,actor,\N
tt4387040,Airlift,2016,1,Akshay Kumar,actor,\N
tt4559046,Housefull 3,2016,1,Akshay Kumar,actor,\N
tt5080556,2.0,2018,2,Akshay Kumar,actor,\N
tt5165344,Rustom,2016,1,Akshay Kumar,actor,\N
tt5785170,Toilet: A Love Story,2017,1,Akshay Kumar,actor,\N
tt5982852,Jolly LLB 2,2017,1,Akshay Kumar,actor,\N
tt6170954,Naam Shabana,2017,2,Akshay Kumar,actor,\N
tt6173990,GOLD,2018,1,Akshay Kumar,actor,\N
tt6264938,Kesari,2019,1,Akshay Kumar,actor,\N
tt7218518,Pad Man,2018,1,Akshay Kumar,actor,\N
tt7721946,Housefull 4,2019,1,Akshay Kumar,actor,\N
tt8504014,Good Newwz,2019,1,Akshay Kumar,actor,\N
tt9248972,Mission Mangal,2019,1,Akshay Kumar,actor,\N
tt10309906,Shubh Mangal Zyada Saavdhan,2020,8,Krishan Kumar,producer,producer
tt2976182,Roy,2015,9,Krishan Kumar,producer,producer
tt3848892,Baby,2015,8,Krishan Kumar,producer,producer
tt4865436,Hate Story 3,2015,9,Krishan Kumar,producer,producer
tt4906960,Baadshaho,2017,8,Krishan Kumar,producer,producer
tt5764096,Hindi Medium,2017,10,Krishan Kumar,producer,producer
tt6791730,Tumhari Sulu,2017,9,Krishan Kumar,producer,producer
tt7363076,Raid,2018,8,Krishan Kumar,producer,producer
tt7581902,Sonu Ke Titu Ki Sweety,2018,9,Krishan Kumar,producer,producer
tt7721800,Bharat,2019,10,Krishan Kumar,producer,producer
tt8202612,Satyameva Jayate,2018,10,Krishan Kumar,producer,producer
tt8869978,Batla House,2019,10,Krishan Kumar,producer,producer
tt9648672,Street Dancer 3D,2020,9,Krishan Kumar,producer,producer
tt9877170,Malang,2020,10,Krishan Kumar,producer,producer
tt7581902,Sonu Ke Titu Ki Sweety,2018,10,Krishan Kumar,producer,producer
tt4906960,Baadshaho,2017,5,Milan Luthria,director,\N
tt2140465,Tanu Weds Manu Returns,2015,2,Madhavan,actor,\N
tt5286444,Neerja,2016,5,Ram Madhvani,director,\N
tt4110568,Dil Dhadakne Do,2015,10,Shankar Mahadevan,composer,\N
tt4559006,Ae Dil Hai Mushkil,2016,10,Anil Mehta,cinematographer,\N
tt6108090,Secret Superstar,2017,10,Anil Mehta,cinematographer,\N
tt7147540,Made in India,2018,10,Anil Mehta,cinematographer,\N
tt3148502,Spectacle,2015,3,Piyush Mishra,actor,\N
tt7881550,Har Kisse Ke Hisse: Kaamyaab,2020,1,Sanjay Mishra,actor,\N
tt5997666,When Harry Met Sejal,2017,8,K.U. Mohanan,cinematographer,\N
tt5571734,Pink,2016,10,Shantanu Moitra,composer,\N
tt7700730,October,2018,10,Shantanu Moitra,composer,\N
tt6588966,Hichki,2018,1,Rani Mukerji,actress,\N
tt3159708,Welcome Back,2015,10,Firoz Nadiadwala,producer,producer
tt3148502,Spectacle,2015,6,Sajid Nadiadwala,producer,producer
tt3469244,Phantom,2015,10,Sajid Nadiadwala,producer,producer
tt3679060,Kapow,2016,8,Sajid Nadiadwala,producer,producer
tt4559046,Housefull 3,2016,10,Sajid Nadiadwala,producer,producer
tt4864932,Baaghi,2016,9,Sajid Nadiadwala,producer,producer
tt5456546,Twins 2,2017,9,Sajid Nadiadwala,producer,producer
tt7485048,Super 30,2019,9,Sajid Nadiadwala,producer,producer
tt7721946,Housefull 4,2019,10,Sajid Nadiadwala,writer,story
tt8366590,Baaghi 3,2020,8,Sajid Nadiadwala,writer,\N
tt9052870,Chhichhore,2019,8,Sajid Nadiadwala,producer,producer
tt10324144,Article 15,2019,2,Nassar,actor,\N
tt7581902,Sonu Ke Titu Ki Sweety,2018,4,Alok Nath,actor,\N
tt3398048,Tevar,2015,4,Deepti Naval,actress,\N
tt3802576,Brothers,2015,6,Gavin O'Connor,writer,original story
tt10324144,Article 15,2019,3,Manoj Pahwa,actor,\N
tt4467202,Hero,2015,4,Aditya Pancholi,actor,\N
tt3159708,Welcome Back,2015,8,Praful Parekh,writer,screenplay
tt10964430,Thappad,2020,4,Ratna Pathak Shah,actress,\N
tt9817760,Jai Mummy Di,2020,2,Supriya Pathak,actress,\N
tt7212726,Simmba,2017,6,Puri Jagannadh,writer,original story
tt5882970,Tubelight,2017,3,Om Puri,actor,\N
tt8176312,Gul Makai,2020,4,Om Puri,actor,\N
tt2395469,Gully Boy,2019,4,Vijay Raaz,actor,\N
tt6580564,102 Not Out,2018,2,Vijay Raaz,actor,\N
tt4559006,Ae Dil Hai Mushkil,2016,2,Aishwarya Rai Bachchan,actress,\N
tt5080556,2.0,2018,1,Rajinikanth,actor,\N
tt10463030,Bhoot: Part One - The Haunted Ship,2020,2,Ashutosh Rana,actor,\N
tt7212726,Simmba,2017,4,Ashutosh Rana,actor,\N
tt7430722,War,2019,4,Ashutosh Rana,actor,\N
tt7638344,Dhadak,2018,3,Ashutosh Rana,actor,\N
tt10309906,Shubh Mangal Zyada Saavdhan,2020,3,Gajraj Rao,actor,\N
tt7725596,Badhaai Ho,2018,3,Gajraj Rao,actor,\N
tt6452574,Sanju,2017,2,Paresh Rawal,actor,\N
tt8291224,Uri: The Surgical Strike,2019,2,Paresh Rawal,actor,\N
tt10875678,Happy Hardy and Heer,2020,10,Himesh Reshammiya,composer,\N
tt5460276,Kaabil,2017,3,Ronit Roy,actor,\N
tt5074352,Dangal,2016,3,Fatima Sana Shaikh,actress,\N
tt2631186,Baahubali: The Beginning,2015,4,Sathyaraj,actor,\N
tt7485048,Super 30,2019,4,Virendra Saxena,actor,\N
tt7027278,Kedarnath,2018,8,Ronnie Screwvala,producer,producer
tt8291224,Uri: The Surgical Strike,2019,6,Ronnie Screwvala,producer,producer
tt9766280,Bhangra Paa Le,2020,4,Parmeet Sethi,actor,\N
tt5080556,2.0,2018,5,S. Shankar,director,\N
tt6826438,Parmanu: The Story of Pokhran,2018,5,Abhishek Sharma,director,\N
tt7098658,Raazi,2018,4,Shishir Sharma,actor,\N
tt2140465,Tanu Weds Manu Returns,2015,3,Jimmy Sheirgill,actor,\N
tt8647400,De De Pyaar De,2019,4,Jimmy Sheirgill,actor,\N
tt11573410,Guns of Banaras,2020,4,Shilpa Shirodkar,actress,\N
tt7059844,Dabangg 3,2019,7,Dilip Shukla,writer,dialogue
tt5982852,Jolly LLB 2,2017,3,Saurabh Shukla,actor,\N
tt7363076,Raid,2018,4,Saurabh Shukla,actor,\N
tt9420648,Bala,2019,4,Saurabh Shukla,actor,\N
tt8130968,Badla,2019,3,Amrita Singh,actress,\N
tt9248940,Dream Girl,2019,10,Aashish Singh,producer,producer
tt7431594,Race 3,2018,9,Ramesh Sadhuram Taurani,producer,producer
tt7639372,Total Dhamaal,2019,10,Ashok Thakeria,producer,producer
tt5286444,Neerja,2016,3,Yogendra Tiku,actor,\N
tt7059844,Dabangg 3,2019,6,Alok Upadhyay,writer,screenplay
tt3148502,Spectacle,2015,8,Ravi Varman,cinematographer,\N
tt5690142,Mom,2017,7,Kona Venkat,writer,story
tt9248952,Jawaani Jaaneman,2020,8,Juan Vera,writer,original script
tt7147540,Made in India,2018,4,Raghuvir Yadav,actor,\N
tt2976182,Roy,2015,1,Arjun Rampal,actor,\N
tt5477608,Kahaani 2,2016,2,Arjun Rampal,actor,\N
tt11573410,Guns of Banaras,2020,1,Karann Nathh,actor,\N
tt8176312,Gul Makai,2020,9,Javed Ahtasham,cinematographer,\N
tt5997666,When Harry Met Sejal,2017,10,Jiri Karasek,production_designer,\N
tt5970844,Thugs Of Hindostan,2018,7,Ajay-Atul,composer,song composer
tt8108274,Tanhaji: The Unsung Warrior,2020,9,Ajay-Atul,composer,\N
tt8108198,Andhadhun,2018,7,Yogesh Chandekar,writer,\N
tt7725596,Badhaai Ho,2018,9,Hemant Bhandari,producer,producer
tt7725596,Badhaai Ho,2018,6,Akshat Ghildial,writer,screenplay and dialogue
tt4979082,Jai Gangaajal,2016,4,Ninad Kamat,actor,\N
tt2395469,Gully Boy,2019,2,Alia Bhatt,actress,\N
tt4007558,Shaandaar,2015,2,Alia Bhatt,actress,\N
tt4434004,Udta Punjab,2016,2,Alia Bhatt,actress,\N
tt4900716,Kapoor & Sons,2016,3,Alia Bhatt,actress,\N
tt5946128,Dear Zindagi,2016,1,Alia Bhatt,actress,\N
tt6277440,Badrinath Ki Dulhania,2017,2,Alia Bhatt,actress,\N
tt6988116,Kalank,2019,2,Alia Bhatt,actress,\N
tt7098658,Raazi,2018,1,Alia Bhatt,actress,\N
tt10930586,Shikara,2020,4,Priyanshu Chatterjee,actor,\N
tt10309906,Shubh Mangal Zyada Saavdhan,2020,6,Bhushan Kumar,producer,producer
tt10964430,Thappad,2020,7,Bhushan Kumar,producer,producer
tt2976182,Roy,2015,7,Bhushan Kumar,producer,producer
tt3848892,Baby,2015,7,Bhushan Kumar,producer,producer
tt4865436,Hate Story 3,2015,8,Bhushan Kumar,producer,producer
tt4906960,Baadshaho,2017,7,Bhushan Kumar,producer,producer
tt5764096,Hindi Medium,2017,9,Bhushan Kumar,producer,producer
tt6791730,Tumhari Sulu,2017,8,Bhushan Kumar,producer,producer
tt7363076,Raid,2018,7,Bhushan Kumar,producer,producer
tt7581902,Sonu Ke Titu Ki Sweety,2018,8,Bhushan Kumar,producer,producer
tt8108274,Tanhaji: The Unsung Warrior,2020,7,Bhushan Kumar,producer,producer
tt8202612,Satyameva Jayate,2018,9,Bhushan Kumar,producer,producer
tt8647400,De De Pyaar De,2019,10,Bhushan Kumar,producer,producer
tt8869978,Batla House,2019,9,Bhushan Kumar,producer,producer
tt9648672,Street Dancer 3D,2020,8,Bhushan Kumar,producer,producer
tt9877170,Malang,2020,9,Bhushan Kumar,producer,producer
tt10324144,Article 15,2019,5,Anubhav Sinha,director,\N
tt10964430,Thappad,2020,5,Anubhav Sinha,director,\N
tt0315642,Wazir,2016,2,Farhan Akhtar,actor,\N
tt2395469,Gully Boy,2019,8,Farhan Akhtar,producer,producer
tt3405236,Raees,2017,9,Farhan Akhtar,producer,producer
tt4110568,Dil Dhadakne Do,2015,8,Farhan Akhtar,writer,dialogue
tt6173990,GOLD,2018,8,Farhan Akhtar,producer,producer
tt6712014,Fukrey Returns,2017,7,Farhan Akhtar,producer,producer
tt2395469,Gully Boy,2019,6,Reema Kagti,writer,\N
