tconst,title,year,ordering,Actor,Character Played
tt4744086,Her & Him,2016,1,Amitabh Bachchan,"[""Cameo""]
"
tt4744086,Her & Him,2016,2,Kareena Kapoor,"[""Kia Bansal""]
"
tt4744086,Her & Him,2016,3,Jaya Bachchan,"[""Jaya Bhaduri""]
"
tt4744086,Her & Him,2016,4,Arjun Kapoor,"[""Kabir Bansal""]
"
tt4832640,Sultan,2016,1,Salman Khan,"[""Sultan Ali Khan""]
"
tt4832640,Sultan,2016,3,Randeep Hooda,"[""Fateh Singh""]
"
tt4832640,Sultan,2016,2,Amit Sadh,"[""Aakash Oberoi""]
"
tt4832640,Sultan,2016,4,Anushka Sharma,"[""Aarfa""]
"
tt4849438,Baahubali 2: The Conclusion,2017,1,Prabhas,"[""Amarendra Baahubali"""
tt4849438,Baahubali 2: The Conclusion,2017,4,Tamannaah Bhatia,"[""Avanthika""]
"
tt4849438,Baahubali 2: The Conclusion,2017,3,Anushka Shetty,"[""Devasena""]
"
tt4849438,Baahubali 2: The Conclusion,2017,2,Rana Daggubati,"[""Bhallaladeva""]
"
tt4864932,Baaghi,2016,1,Shraddha Kapoor,"[""Sia""]
"
tt4864932,Baaghi,2016,4,Paras Arora,"\N
"
tt4864932,Baaghi,2016,3,Sudheer Babu Posani,"[""Raghav Shetty""]
"
tt4864932,Baaghi,2016,2,Tiger Shroff,"[""Ronny""]
"
tt4865436,Hate Story 3,2015,1,Sharman Joshi,"[""Aditya Diwan"""
tt4865436,Hate Story 3,2015,4,Daisy Shah,"[""Kaaya"""
tt4865436,Hate Story 3,2015,2,Karan Singh Grover,"[""Saurav Singhania""]
"
tt4865436,Hate Story 3,2015,3,Zareen Khan,"[""Siya Diwan"""
tt4900716,Kapoor & Sons,2016,4,Rajat Kapoor,"[""Harsh Kapoor - Dad""]
"
tt4900716,Kapoor & Sons,2016,3,Alia Bhatt,"[""Tia Malik""]
"
tt4900716,Kapoor & Sons,2016,2,Fawad Khan,"[""Rahul Kapoor""]
"
tt4900716,Kapoor & Sons,2016,1,Sidharth Malhotra,"[""Arjun Kapoor""]
"
tt4906960,Baadshaho,2017,1,Ajay Devgn,"[""Bhawani Singh""]
"
tt4906960,Baadshaho,2017,3,Emraan Hashmi,"[""Dalia""]
"
tt4906960,Baadshaho,2017,2,Ileana D'Cruz,"[""Gitanjali""]
"
tt4906960,Baadshaho,2017,4,Esha Gupta,"[""Sanjana""]
"
tt4906984,Azhar,2016,4,Lara Dutta,"[""Meera Verma""]
"
tt4906984,Azhar,2016,1,Emraan Hashmi,"[""Azhar""]
"
tt4906984,Azhar,2016,3,Prachi Desai,"[""Naureen""]
"
tt4906984,Azhar,2016,2,Nargis Fakhri,"[""Sangeeta""]
"
tt4979082,Jai Gangaajal,2016,2,Prakash Jha,"[""B.N. Singh""]
"
tt4979082,Jai Gangaajal,2016,4,Ninad Kamat,"[""Dabloo Pandey""]
"
tt4979082,Jai Gangaajal,2016,1,Priyanka Chopra,"[""SP Abha Mathur""]
"
tt4979082,Jai Gangaajal,2016,3,Manav Kaul,"[""MLA Babloo Pandey""]
"
tt5074352,Dangal,2016,1,Aamir Khan,"[""Mahavir Singh Phogat""]
"
tt5074352,Dangal,2016,3,Fatima Sana Shaikh,"[""Geeta Phogat""]
"
tt5074352,Dangal,2016,2,Sakshi Tanwar,"[""Daya Kaur""]
"
tt5074352,Dangal,2016,4,Sanya Malhotra,"[""Babita Kumari""]
"
tt5080556,2,2018,2,Akshay Kumar,"[""Pakshi Rajan""]
"
tt5080556,2,2018,1,Rajinikanth,"[""Dr. Vaseegaran"""
tt5080556,2,2018,4,Adil Hussain,"[""Minister Vijay Kumar""]
"
tt5080556,2,2018,3,Amy Jackson,"[""Nila""]
"
tt5108476,Befikre,2016,4,Julie Ordon,"[""Christine""]
"
tt5108476,Befikre,2016,3,Akarsh Khurana,"[""Jogi Gill (Shyra's Dad)""]
"
tt5108476,Befikre,2016,1,Ranveer Singh,"[""Dharam""]
"
tt5108476,Befikre,2016,2,Vaani Kapoor,"[""Shyra""]
"
tt5156746,Force 2,2016,4,Adil Hussain,"[""Brijesh Yadav (HRD Minister)""]
"
tt5156746,Force 2,2016,1,John Abraham,"[""Yashwardhan""]
"
tt5156746,Force 2,2016,3,Tahir Raj Bhasin,"[""Shiv""]
"
tt5156746,Force 2,2016,2,Sonakshi Sinha,"[""KK""]
"
tt5165344,Rustom,2016,3,Manoj Bajpayee,"[""Narrator""]
"
tt5165344,Rustom,2016,1,Akshay Kumar,"[""Rustom Pavri""]
"
tt5165344,Rustom,2016,2,Ileana D'Cruz,"[""Cynthia Pavri""]
"
tt5165344,Rustom,2016,4,Esha Gupta,"[""Preety Makhija""]
"
tt5235880,A Flying Jatt,2016,3,Nathan Jones,"[""Raka""]
"
tt5235880,A Flying Jatt,2016,4,Kay Kay Menon,"[""Malhotra""]
"
tt5235880,A Flying Jatt,2016,2,Jacqueline Fernandez,"[""Kirti""]
"
tt5235880,A Flying Jatt,2016,1,Tiger Shroff,"[""Flying Jatt""]
"
tt5286444,Neerja,2016,2,Shabana Azmi,"[""Rama Bhanot""]
"
tt5286444,Neerja,2016,3,Yogendra Tiku,"[""Harish Bhanot""]
"
tt5286444,Neerja,2016,1,Sonam Kapoor,"[""Neerja Bhanot""]
"
tt5286444,Neerja,2016,4,Abrar Zahoor,"[""Safarini""]
"
tt5456546,Twins 2,2017,4,Anupam Kher,"[""Mr. Balraj Bakshi""]
"
tt5456546,Twins 2,2017,2,Jacqueline Fernandez,"[""Alishka""]
"
tt5456546,Twins 2,2017,1,Varun Dhawan,"[""Raja"""
tt5456546,Twins 2,2017,3,Taapsee Pannu,"[""Samaara""]
"
tt5460276,Kaabil,2017,1,Hrithik Roshan,"[""Rohan Bhatnagar""]
"
tt5460276,Kaabil,2017,3,Ronit Roy,"[""Madhavrao Shellar""]
"
tt5460276,Kaabil,2017,4,Rohit Roy,"[""Amit Shellar""]
"
tt5460276,Kaabil,2017,2,Yami Gautam,"[""Supriya Bhatnagar""]
"
tt5474042,Half Girlfriend,2017,2,Shraddha Kapoor,"[""Riya Somani""]
"
tt5474042,Half Girlfriend,2017,1,Rhea Chakraborty,"[""Anshika""]
"
tt5474042,Half Girlfriend,2017,4,Dalip Sondhi,"[""Mr. Somani""]
"
tt5474042,Half Girlfriend,2017,3,Shreedhar Dubey,"[""Hemant""]
"
tt5477608,Kahaani 2,2016,3,Jugal Hansraj,"[""Mohit Dewan""]
"
